Batch_Name,DATE,COUNTS
Batch22,6/7/2020,14
Batch22,6/8/2020,14
Batch22,6/9/2020,14
Batch22,6/10/2020,14
Batch22,6/11/2020,14
Batch22,6/12/2020,14
Batch22,6/13/2020,14
Batch22,6/14/2020,14
Batch22,6/15/2020,14
Batch22,6/16/2020,14
Batch22,6/17/2020,14
Batch22,6/18/2020,14
Batch22,6/19/2020,14
Batch22,6/20/2020,14
Batch22,6/21/2020,14
Batch22,6/22/2020,14
Batch22,6/23/2020,14
Batch22,6/24/2020,14
Batch22,6/25/2020,14
Batch22,6/26/2020,14
Batch22,6/27/2020,14
Batch22,6/28/2020,14
Batch22,6/29/2020,14
Batch22,6/30/2020,14
Batch22,7/1/2020,14
Batch22,7/2/2020,14
Batch22,7/3/2020,14
Batch22,7/4/2020,14
Batch22,7/5/2020,14
Batch22,7/6/2020,14
Batch22,7/7/2020,3
Batch22,7/8/2020,3
Batch22,7/9/2020,14
Batch22,7/10/2020,14
Batch22,7/11/2020,14
Batch22,7/13/2020,14
Batch22,7/14/2020,14
Batch22,7/15/2020,14
Batch22,7/16/2020,14
Batch22,7/17/2020,14
Batch22,7/18/2020,14
Batch22,7/19/2020,14
Batch22,7/20/2020,14
Batch22,7/21/2020,14
Batch23,5/22/2020,5
Batch23,5/23/2020,5
Batch23,5/24/2020,5
Batch23,5/25/2020,5
Batch23,5/26/2020,5
Batch23,5/27/2020,5
Batch23,5/28/2020,5
Batch23,5/29/2020,5
Batch24,5/22/2020,3
Batch24,5/23/2020,5
Batch24,5/24/2020,3
Batch24,5/25/2020,3
Batch24,5/26/2020,3
Batch24,5/27/2020,3
Batch24,5/28/2020,3
Batch24,5/29/2020,3
Batch24,5/30/2020,5
Batch24,5/31/2020,5
Batch24,6/1/2020,5
Batch24,6/2/2020,5
Batch24,6/3/2020,5
Batch24,6/4/2020,5
Batch24,6/5/2020,5
Batch24,6/6/2020,5
Batch24,6/7/2020,5
Batch24,6/8/2020,5
Batch24,6/9/2020,5
Batch24,6/10/2020,5
Batch24,6/11/2020,5
Batch24,6/12/2020,5
Batch24,6/13/2020,5
Batch24,6/14/2020,5
Batch24,6/15/2020,5
Batch24,6/16/2020,5
Batch24,6/17/2020,5
Batch24,6/18/2020,5
Batch24,6/19/2020,5
Batch24,6/20/2020,5
Batch24,6/21/2020,5
Batch24,6/22/2020,5
Batch24,6/23/2020,5
Batch24,6/24/2020,5
Batch24,6/25/2020,5
Batch24,6/26/2020,5
Batch24,6/27/2020,5
Batch24,6/28/2020,5
Batch24,6/29/2020,5
Batch24,6/30/2020,5
Batch24,7/1/2020,5
Batch24,7/2/2020,5
Batch24,7/3/2020,5
Batch24,7/4/2020,5
Batch24,7/5/2020,5
Batch24,7/6/2020,5
Batch24,7/7/2020,5
Batch24,7/8/2020,5
Batch24,7/9/2020,5
Batch24,7/10/2020,5
Batch24,7/11/2020,5
Batch24,7/12/2020,5
Batch24,7/13/2020,5
Batch24,7/14/2020,5
Batch24,7/15/2020,5
Batch24,7/16/2020,5
Batch24,7/17/2020,5
Batch24,7/18/2020,5
Batch24,7/19/2020,5
Batch24,7/20/2020,5
Batch25,5/22/2020,3
Batch25,5/23/2020,3
Batch25,5/24/2020,3
Batch25,5/25/2020,3
Batch25,5/26/2020,3
Batch25,5/27/2020,3
Batch25,5/28/2020,3
Batch25,5/29/2020,3
Batch25,5/30/2020,3
Batch25,5/31/2020,3
Batch25,6/1/2020,3
Batch25,6/2/2020,3
Batch25,6/3/2020,3
Batch25,6/4/2020,3
Batch25,6/5/2020,3
Batch25,6/6/2020,3
Batch25,6/7/2020,3
Batch25,6/8/2020,3
Batch25,6/9/2020,3
Batch25,6/10/2020,3
Batch25,6/11/2020,3
Batch25,6/12/2020,3
Batch25,6/13/2020,3
Batch25,6/14/2020,3
Batch25,6/15/2020,3
Batch25,6/16/2020,3
Batch25,6/17/2020,3
Batch25,6/18/2020,3
Batch25,6/19/2020,3
Batch25,6/20/2020,3
Batch25,6/21/2020,3
Batch25,6/22/2020,3
Batch25,6/23/2020,3
Batch25,6/24/2020,3
Batch25,6/25/2020,3
Batch25,6/26/2020,3
Batch25,6/27/2020,3
Batch25,6/28/2020,3
Batch25,6/29/2020,3
Batch25,6/30/2020,3
Batch25,7/1/2020,3
Batch25,7/2/2020,3
Batch25,7/3/2020,3
Batch25,7/4/2020,3
Batch25,7/5/2020,3
Batch25,7/6/2020,3
Batch25,7/7/2020,3
Batch25,7/8/2020,3
Batch25,7/9/2020,3
Batch25,7/10/2020,3
Batch25,7/11/2020,3
Batch25,7/12/2020,3
Batch25,7/13/2020,3
Batch25,7/14/2020,3
Batch25,7/15/2020,3
Batch25,7/16/2020,3
Batch25,7/17/2020,3
Batch25,7/18/2020,3
Batch25,7/19/2020,3
Batch25,7/20/2020,3
Batch26,5/22/2020,5
Batch26,5/23/2020,5
Batch26,5/24/2020,5
Batch26,5/25/2020,5
Batch26,5/26/2020,5
Batch26,5/27/2020,5
Batch26,5/28/2020,5
Batch26,5/29/2020,5
Batch26,5/30/2020,5
Batch26,5/31/2020,5
Batch26,6/1/2020,5
Batch26,6/2/2020,5
Batch26,6/3/2020,5
Batch26,6/4/2020,5
Batch26,6/5/2020,5
Batch26,6/6/2020,5
Batch26,6/7/2020,5
Batch26,6/8/2020,5
Batch26,6/9/2020,5
Batch26,6/10/2020,5
Batch26,6/11/2020,5
Batch26,6/12/2020,5
Batch26,6/13/2020,5
Batch26,6/14/2020,5
Batch26,6/15/2020,5
Batch26,6/16/2020,5
Batch26,6/17/2020,5
Batch26,6/18/2020,5
Batch26,6/19/2020,5
Batch26,6/20/2020,5
Batch26,6/21/2020,5
Batch26,6/22/2020,5
Batch26,6/23/2020,5
Batch26,6/24/2020,5
Batch26,6/25/2020,5
Batch26,6/26/2020,5
Batch26,6/27/2020,5
Batch26,6/28/2020,5
Batch26,6/29/2020,5
Batch26,6/30/2020,5
